,movieId,weightedRating,similarityIndex,score,title,year
0,32387,5.0,1.0,5.0,"Sword of Doom, The (Dai-bosatsu tôge)",1966
1,28,5.0,1.0,5.0,Persuasion,1995
2,32291,5.0,1.0,5.0,Melinda and Melinda,2004
3,32213,5.000000000000001,1.0000000000000002,5.0,Cube Zero,2004
4,32840,5.0,1.0,5.0,Vincent,1982
5,1086,5.000000000000001,1.0000000000000002,5.0,Dial M for Murder,1954
6,1131,5.0,1.0,5.0,Jean de Florette,1986
7,1099,5.0,1.0,5.0,"Christmas Carol, A",1938
8,1189,5.0,1.0,5.0,"Thin Blue Line, The",1988
9,1202,5.000000000000001,1.0000000000000002,5.0,Withnail & I,1987
10,1233,10.0,2.0,5.0,"Boot, Das (Boat, The)",1981
11,1232,5.0,1.0,5.0,Stalker,1979
12,8195,5.0,1.0,5.0,"Avventura, L' (Adventure, The)",1960
13,581,5.0,1.0,5.0,"Celluloid Closet, The",1995
14,556,5.0,1.0,5.0,"War Room, The",1993
15,1241,5.0,1.0,5.0,Dead Alive (Braindead),1992
16,1238,5.0,1.0,5.0,Local Hero,1983
17,1297,5.0,1.0,5.0,Real Genius,1985
18,1296,10.0,2.0,5.0,"Room with a View, A",1986
19,1290,5.0,1.0,5.0,Some Kind of Wonderful,1987
20,1321,5.0,1.0,5.0,"American Werewolf in London, An",1981
21,1414,5.0,1.0,5.0,Mother,1996
22,6947,5.0,1.0,5.0,Master and Commander: The Far Side of the World,2003
23,7132,5.000000000000001,1.0000000000000002,5.0,"Night at the Opera, A",1935
24,7302,5.0,1.0,5.0,"Thief of Bagdad, The",1924
25,7293,5.0,1.0,5.0,50 First Dates,2004
26,7161,5.0,1.0,5.0,Cheaper by the Dozen,2003
27,7766,5.0,1.0,5.0,Throne of Blood (Kumonosu jô),1957
28,112,10.0,2.0,5.0,Rumble in the Bronx (Hont faan kui),1995
29,94,5.0,1.0,5.0,Beautiful Girls,1996
30,501,5.0,1.0,5.0,Naked,1993
31,1484,5.0,1.0,5.0,"Daytrippers, The",1996
32,1457,5.0,1.0,5.0,Fools Rush In,1997
33,1446,5.0,1.0,5.0,Kolya (Kolja),1996
34,78499,5.0,1.0,5.0,Toy Story 3,2010
35,1649,5.0,1.0,5.0,"Fast, Cheap & Out of Control",1997
36,1753,5.000000000000001,1.0000000000000002,5.0,Half Baked,1998
37,1900,5.0,1.0,5.0,"Children of Heaven, The (Bacheha-Ye Aseman)",1997
38,73713,5.0,1.0,5.0,"Butterfly, The (Papillon, Le)",2002
39,2132,5.0,1.0,5.0,Who's Afraid of Virginia Woolf?,1966
40,2130,5.0,1.0,5.0,Atlantic City,1980
41,83349,5.0,1.0,5.0,"Green Hornet, The",2011
42,43869,5.000000000000001,1.0000000000000002,5.0,Curious George,2006
43,6791,5.0,1.0,5.0,Babette's Feast (Babettes gæstebud),1987
44,6770,5.0,1.0,5.0,My Life Without Me,2003
45,6944,5.0,1.0,5.0,Father of the Bride,1991
46,6890,5.0,1.0,5.0,Elephant,2003
47,6881,5.0,1.0,5.0,Pieces of April,2003
48,149,5.0,1.0,5.0,Amateur,1994
49,121,5.0,1.0,5.0,"Boys of St. Vincent, The",1992
50,2184,5.0,1.0,5.0,"Trouble with Harry, The",1955
51,2146,5.0,1.0,5.0,St. Elmo's Fire,1985
